Domain	Phylum	Class	Order	Family	Genus	Segments(Nodes)	Links(Edges)	No. genomes	Ref
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA1556	4572-112	191	0	6	GCA_002254285.1
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	46-32	26	0	9	GCA_024707305.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	AC2028	54	0	30	GCA_024682075.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Afifellaceae	Afifella	285930	381527	4	GCF_900102695.1
Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Arcticibacter	463	590	4	GCF_003002875.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_C	Achromobacter_A	418	0	3	GCA_023427945.1
Archaea	Thermoplasmatota	E2	UBA202	JdFR-43	JdFR-43	175	0	3	GCA_021161135.1
Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidibrevibacterium	516753	698598	7	GCF_003352165.1
Bacteria	Bacteroidota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	1-14-2-50-31-20	99	0	3	GCA_021647785.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Aeromonadaceae	Aeromonas	16276	23790	34	GCF_900156095.1
Bacteria	Bacillota_A	Clostridia	Acetivibrionales	Acetivibrionaceae	Acetivibrio	58912	78352	5	GCA_012519925.1
Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Agriterribacter	1913	2520	14	GCA_023957155.1
Bacteria	Pseudomonadota	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	13-2-20CM-66-19	484366	652106	44	GCA_005878835.1
Bacteria	Bacillota	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Alicyclobacillus_G	374405	499811	3	GCF_001552655.1
Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	14-2	433	456	38	GCA_910580195.1
Bacteria	Bacillota	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Alicyclobacillus	428388	576957	26	GCF_017329605.1
